image_id,tag_id,tag_name,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10
953777,20,Architecture,0,3,2,3,13,40,35,21,8,3
953903,28,Water,0,1,4,5,33,50,17,9,3,2
953844,15,Nature,0,0,1,6,40,51,20,6,4,0
953550,14,Landscape,0,0,1,3,13,45,36,20,5,7
953750,15,Nature,0,1,12,34,52,16,7,2,1,0
954181,15,Nature,0,0,0,8,29,43,25,13,7,4
953621,7,Sky,0,1,5,5,39,48,18,7,2,3
953092,27,Rural,0,0,1,5,43,51,13,6,4,1
953751,15,Nature,0,0,1,16,25,44,18,14,5,3
954112,15,Nature,0,1,2,10,47,40,12,5,4,0
954116,20,Architecture,0,2,5,15,43,50,6,3,4,3
954121,20,Architecture,0,0,2,7,37,42,23,11,5,3
954125,14,Landscape,0,2,8,24,53,28,6,1,1,2
954013,2,Cityscape,0,0,1,5,18,39,31,22,9,7
954069,2,Cityscape,1,1,5,23,57,22,11,1,0,1
954225,20,Architecture,0,0,1,16,51,43,8,6,2,1
954124,15,Nature,0,0,3,6,28,57,25,7,4,3
954218,15,Nature,0,0,7,12,40,46,10,3,4,2
953985,7,Sky,1,2,3,12,36,55,14,8,2,1
954118,14,Landscape,0,1,1,3,30,53,24,11,8,1
953901,28,Water,0,1,3,9,33,41,27,8,1,4
953794,15,Nature,0,0,5,30,48,30,9,1,2,1
954130,14,Landscape,1,0,6,23,33,29,16,7,6,1
954180,7,Sky,0,0,3,14,35,51,10,3,1,1
954002,14,Landscape,0,1,3,5,16,45,32,20,4,3
953327,20,Architecture,0,1,3,17,48,42,9,3,2,1
953918,15,Nature,0,0,2,15,60,35,8,3,0,2
953933,15,Nature,0,0,9,19,63,25,9,2,1,1
953630,20,Architecture,0,1,6,13,52,45,4,2,1,0
953004,15,Nature,0,4,9,34,54,18,2,2,1,0
954219,18,Still Life,0,1,4,6,42,47,12,6,3,1
954183,15,Nature,0,0,2,22,49,37,8,2,2,1
953955,15,Nature,0,0,5,15,37,49,15,1,1,1
954055,14,Landscape,0,0,4,15,39,37,18,6,2,2
954216,20,Architecture,0,1,2,10,50,43,17,4,2,3
953979,2,Cityscape,0,0,0,3,21,34,30,20,9,10
954131,14,Landscape,0,1,6,19,46,38,10,0,3,0
953356,15,Nature,0,2,4,16,43,40,16,2,1,2
954169,28,Water,1,1,2,3,19,55,27,10,7,8
954220,14,Landscape,0,1,9,22,48,36,7,1,1,0
954123,27,Rural,0,0,3,13,56,32,15,4,1,2
953113,7,Sky,0,0,1,2,38,47,27,9,3,3
954223,14,Landscape,0,0,3,20,52,44,10,3,1,0
954196,15,Nature,0,2,1,6,22,43,35,17,1,3
954214,7,Sky,0,0,3,4,43,52,16,1,3,2
954198,18,Still Life,0,2,1,5,35,49,26,5,2,2
953816,14,Landscape,0,0,0,1,10,30,32,29,14,12
954191,15,Nature,1,1,6,16,42,35,19,4,2,1
953401,15,Nature,0,1,3,15,35,47,20,4,4,2
771289,14,Landscape,1,2,3,13,66,58,18,7,2,1
770300,20,Architecture,0,0,4,12,50,44,36,10,9,0
770637,20,Architecture,0,0,4,12,50,61,26,14,1,2
771245,20,Architecture,0,0,6,35,76,35,5,2,0,1
771439,18,Still Life,0,0,5,22,69,49,22,1,1,0
771082,20,Architecture,0,1,6,35,64,39,14,3,0,3
771392,14,Landscape,5,3,15,31,56,31,10,6,2,1
771538,18,Still Life,0,2,2,11,64,58,16,12,5,1
